Name;SMILES
Oc1ccc(/N=N/c2cccc(C(F)(F)F)c2)cc1/C=N/Nc1n/c(=N\c2ccccc2)nc(N2CCOCC2)[nH]1;Oc1ccc(/N=N/c2cccc(C(F)(F)F)c2)cc1/C=N/Nc1n/c(=N\c2ccccc2)nc(N2CCOCC2)[nH]1
O=C(Nc1cccc([N+](=O)[O-])c1)Nc1nn(Cc2ccc(Cl)c(Cl)c2)cc1Cl;O=C(Nc1cccc([N+](=O)[O-])c1)Nc1nn(Cc2ccc(Cl)c(Cl)c2)cc1Cl
CCOc1ccc(NC(=O)Nc2nc(-c3ccc(I)cc3)cs2)cc1;CCOc1ccc(NC(=O)Nc2nc(-c3ccc(I)cc3)cs2)cc1
CCOc1nc(NC(=O)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)nc(-c2ccccc2)n1;CCOc1nc(NC(=O)NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)nc(-c2ccccc2)n1
Cc1ccc(NC(=O)Nc2nnc(Cc3ccccc3)s2)cc1NC(=O)Nc1nnc(Cc2ccccc2)s1;Cc1ccc(NC(=O)Nc2nnc(Cc3ccccc3)s2)cc1NC(=O)Nc1nnc(Cc2ccccc2)s1
Oc1ccc(/N=N/c2ccc(Cl)cc2Cl)cc1/C=N/Nc1n/c(=N/c2ccccc2)nc(N2CCCC2)[nH]1;Oc1ccc(/N=N/c2ccc(Cl)cc2Cl)cc1/C=N/Nc1n/c(=N/c2ccccc2)nc(N2CCCC2)[nH]1
Oc1ccc(/N=N/c2ccccc2)cc1/C=N/Nc1n/c(=N\c2ccccc2)[nH]/c(=N\c2ccccc2)[nH]1;Oc1ccc(/N=N/c2ccccc2)cc1/C=N/Nc1n/c(=N\c2ccccc2)[nH]/c(=N\c2ccccc2)[nH]1
COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1nn(Cc2ccc(Cl)c(Cl)c2)cc1Cl;COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1nn(Cc2ccc(Cl)c(Cl)c2)cc1Cl
COc1cc(NC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)cs2)cc(OC)c1OC;COc1cc(NC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)cs2)cc(OC)c1OC
O=C(Nc1cccc([N+](=O)[O-])c1)Nc1nn(Cc2c(F)cccc2Cl)cc1Br;O=C(Nc1cccc([N+](=O)[O-])c1)Nc1nn(Cc2c(F)cccc2Cl)cc1Br
CCOc1ccc(NC(=O)Nc2nnc(CSCc3ccc(F)cc3)s2)cc1;CCOc1ccc(NC(=O)Nc2nnc(CSCc3ccc(F)cc3)s2)cc1
CCOc1ccc(C(=O)NC(=S)Nc2ccc(Cl)cc2-c2nc3ccccc3s2)cc1[N+](=O)[O-];CCOc1ccc(C(=O)NC(=S)Nc2ccc(Cl)cc2-c2nc3ccccc3s2)cc1[N+](=O)[O-]
CCOc1cc([N+](=O)[O-])cc(/C=N/Nc2n/c(=N/c3ccccc3)[nH]/c(=N/c3ccccc3)[nH]2)c1O;CCOc1cc([N+](=O)[O-])cc(/C=N/Nc2n/c(=N/c3ccccc3)[nH]/c(=N/c3ccccc3)[nH]2)c1O
O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1nnc(CCOCCOCCc2nnc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)s2)s1;O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1nnc(CCOCCOCCc2nnc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)s2)s1
CCCNS(=O)(=O)c1ccc(NC(=O)NCc2nnc(N)s2)cc1;CCCNS(=O)(=O)c1ccc(NC(=O)NCc2nnc(N)s2)cc1
CCOc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccccc3F)s2)cc1;CCOc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccccc3F)s2)cc1
CC(C)Oc1ccc(C(=O)NC(=S)Nc2ccc(Cl)cc2-c2nc3ccccc3s2)cc1;CC(C)Oc1ccc(C(=O)NC(=S)Nc2ccc(Cl)cc2-c2nc3ccccc3s2)cc1
O=C1CCC(N2Cc3cc(NC(=O)NC4(c5ncco5)COC4)ccc3C2=O)C(=O)N1;O=C1CCC(N2Cc3cc(NC(=O)NC4(c5ncco5)COC4)ccc3C2=O)C(=O)N1
Cc1ccc(NC(=O)Nc2nnc(C3CC3)s2)cc1NC(=O)Nc1nnc(C2CC2)s1;Cc1ccc(NC(=O)Nc2nnc(C3CC3)s2)cc1NC(=O)Nc1nnc(C2CC2)s1
